Авторы,Название,Цена,"Год издания",Изображение,"Стоимость доставки"
"Седжвик Р","Computer Science: основы программирования на Java, ООП, алгоритмы и структуры данных","2 284 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917967/COVER/cover1.jpg,"От 100 руб."
,"Хакинг: искусство эксплойта. 2-е изд.","1 468 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917950/COVER/cover1.jpg,"От 100 руб."
"Иванов О А","Дискретная математика. Учебник для вузов и программирование в Wolfram Mathematica","830 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956193/COVER/cover1.jpg,"От 100 руб."
"Форд Н","Эволюционная архитектура. Поддержка непрерывных изменений","892 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947537/COVER/cover1.jpg,"От 100 руб."
"Ричардсон К","Микросервисы. Паттерны разработки и рефакторинга","1 757 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051764/COVER/cover1.jpg,"От 100 руб."
"Кун Р","Реактивные шаблоны проектирования","1 181 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917958/COVER/cover1.jpg,"От 100 руб."
"Гифт Н.","Прагматичный ИИ. Машинное обучение и облачные технологии","1 393 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956668/COVER/cover1.jpg,"От 100 руб."
"Большаков В П","Твердотельное моделирование сборочных единиц в СAD-системах. Учебное пособие для вузов","1 365 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917973/COVER/cover1.jpg,"От 100 руб."
"Шварц  Б","MySQL по максимуму. 3-е издание оптимизация, резервное копирование, репликация","1 914 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917945/COVER/cover1.jpg,"От 100 руб."
"Купер А","Психбольница в руках пациентов. Алан Купер об интерфейсах или Почему высокие технологии сводят нас с ума и как восстановить душевное равновесие","1 136 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917952/COVER/cover1.jpg,"От 100 руб."
"Херцог Р","Kali Linux от разработчиков","1 126 руб.",2018,https://cdn.book24.ru/v2/ITD000000000934410/COVER/cover1.jpg,"От 100 руб."
"Сенько  А В","Работа с BigData в облаках. Обработка и хранение данных с примерами из Microsoft Azure","1 004 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947559/COVER/cover1.jpg,"От 100 руб."
"Бугаенко  Е","Наш код. Ремесло, профессия, искусство","854 руб.",2019,https://cdn.book24.ru/v2/ITD000000000986852/COVER/cover1.jpg,"От 100 руб."
"Лафоре Р","Структуры данных и алгоритмы в Java. Классика Computers Science. 2-е изд.","1 560 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924647/COVER/cover1.jpg,"От 100 руб."
"Клинтон  Д","Linux в действии","1 700 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044770/COVER/cover1.jpg,"От 100 руб."
"Симпсон К","{Вы не знаете JS} Асинхронная обработка и оптимизация","983 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044766/COVER/cover1.jpg,"От 100 руб."
"Силен Д","Основы Data Science и Big Data. Python и наука о данных","1 378 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924643/COVER/cover1.jpg,"От 100 руб."
"Плас вандер Д","Python для сложных задач: наука о данных и машинное обучение","1 420 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924634/COVER/cover1.jpg,"От 100 руб."
"Рихтер Д","CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е изд.","1 659 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947577/COVER/cover1.jpg,"От 100 руб."
"Рейнвотер Д","Как пасти котов. Наставление для программистов, руководящих другими программистами","602 руб.",2018,https://cdn.book24.ru/v2/ITD000000000940875/COVER/cover1.jpg,"От 100 руб."
"Без автора","Машинное обучение и TensorFlow","1 340 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956113/COVER/cover1.jpg,"От 100 руб."
"Раджпут Д","Spring. Все паттерны проектирования","1 786 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956114/COVER/cover1.jpg,"От 100 руб."
"Бек К","Экстремальное программирование: разработка через тестирование","895 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051763/COVER/cover1.jpg,"От 100 руб."
"Данжу Д","Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию","1 059 руб.",2019,https://cdn.book24.ru/v2/ITD000000001055771/COVER/cover1.jpg,"От 100 руб."
"Усов В А","Swift. Основы разработки приложений под iOS, iPadOS и macOS. 5-е изд. дополненное и переработанное","1 105 руб.",2019,https://cdn.book24.ru/v2/ITD000000001067603/COVER/cover1.jpg,"От 100 руб."
"Никсон Р","Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5. 5-е изд.","1 687 руб.",2018,https://cdn.book24.ru/v2/ITD000000000956109/COVER/cover1.jpg,"От 100 руб."
"Гамма Э","Приемы объектно-ориентированного проектирования Паттерны проектирования","683 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956110/COVER/cover1.jpg,"От 100 руб."
"Бугаенко  Е","Элегантные объекты. Java Edition","995 руб.",2019,https://cdn.book24.ru/v2/ITD000000000960144/COVER/cover1.jpg,"От 100 руб."
"Седер Н","Python. Экспресс-курс. 3-е изд.","995 руб.",2018,https://cdn.book24.ru/v2/ITD000000000956111/COVER/cover1.jpg,"От 100 руб."
"Без автора","Совершенный алгоритм. Основы","1 034 руб.",2019,https://cdn.book24.ru/v2/ITD000000000956112/COVER/cover1.jpg,"От 100 руб."
"Доусон М","Программируем на Python","1 133 руб.",2019,https://cdn.book24.ru/v2/ITD000000000986854/COVER/cover1.jpg,"От 100 руб."
"Рафгарден Т","Совершенный алгоритм. Графовые алгоритмы и структуры данных","1 123 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044771/COVER/cover1.jpg,"От 100 руб."
"Мэтлофф Н.","Искусство программирования на R. Погружение в большие данные","1 224 руб.",2019,https://cdn.book24.ru/v2/ITD000000000973595/COVER/cover1.jpg,"От 100 руб."
"Равичандиран С","Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи","1 212 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051761/COVER/cover1.jpg,"От 100 руб."
"Хокинг Д","Unity в действии. Мультиплатформенная разработка на C#. 2-е межд. издание","1 085 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947560/COVER/cover1.jpg,"От 100 руб."
,"jQuery в действии. 3-е издание","1 273 руб.",2017,https://cdn.book24.ru/v2/ITD000000000880053/COVER/cover1.jpg,"От 100 руб."
"Шолле Ф","Глубокое обучение на Python","995 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917948/COVER/cover1.jpg,"От 100 руб."
"Галовиц Я","С++17 STL. Стандартная библиотека шаблонов","1 362 руб.",2018,https://cdn.book24.ru/v2/ITD000000000917951/COVER/cover1.jpg,"От 100 руб."
"Паттон Д","Пользовательские истории. Искусство гибкой разработки ПО","964 руб.",2018,https://cdn.book24.ru/v2/ITD000000000940872/COVER/cover1.jpg,"От 100 руб."
"Фаулер Ч",Программист-фанатик,"556 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924637/COVER/cover1.jpg,"От 100 руб."
"О Нил К","Data Science. Инсайдерская информация для новичков. Включая язык R","1 246 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947540/COVER/cover1.jpg,"От 100 руб."
"Чакон С","Git для профессионального программиста Подробное описание самой популярной системы контроля версий.","1 286 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947542/COVER/cover1.jpg,"От 100 руб."
,"Как устроен Python. Гид для разработчиков, программистов и интересующихся","880 руб.",2018,https://cdn.book24.ru/v2/ITD000000000947541/COVER/cover1.jpg,"От 100 руб."
"Тиленс Томас М","React в действии","1 212 руб.",2018,https://cdn.book24.ru/v2/ITD000000000956131/COVER/cover1.jpg,"От 100 руб."
"Фримен Э","Изучаем программирование на JavaScript","1 883 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924632/COVER/cover1.jpg,"От 100 руб."
